,BOW_No_Feat_Logistic,BOW_No_Feat_XGB,TFIDF_No_Feat_Logistic,TFIDF_No_Feat_XGB,TFIDF_Cos_Sim_Logistic,TFIDF_Cos_Sim_XGB,TFIDF_Cos_Sim_Len_Logistic,TFIDF_Cos_Sim_Len_XGB,TFIDF_Cos_Sim_Len_Dist_Logistic,TFIDF_Cos_Sim_Len_Dist_XGB,TFIDF_Cos_Sim_Len_Dist_ExtraFeat_Logistic,TFIDF_Cos_Sim_Len_Dist_ExtraFeat_XGB
Train,0.8560015673032263,0.8659191549450259,0.8416865189699401,0.9070173792036841,0.9074969597126898,0.9766716766767485,0.9105569629864025,0.9893273664276654,0.9122547681146612,0.991570516727775,0.9160962845200364,0.9933322981345474
Validation,0.7953934745032775,0.8093737107889942,0.7958238445455491,0.8234103363606295,0.8726778599886169,0.8987541590750521,0.877148443480405,0.9060839423181429,0.879432834809194,0.9099064872805638,0.8843373353169895,0.9168239801135734
Test,0.7956985843493918,0.8097783288425393,0.797239576925177,0.827242512987826,0.8772466341269656,0.9019259149390173,0.8810641865271815,0.906456667632005,0.8829894326066793,0.9095038783787787,0.8881570223833523,0.9158050435110939
